@relation Untagged_new_PUL-weka.filters.unsupervised.attribute.Remove-R1

@attribute character_count numeric
@attribute word_count numeric
@attribute sentence_count numeric
@attribute word_length numeric
@attribute sentence_length numeric
@attribute paragraph_count numeric
@attribute paragraph_length numeric
@attribute longest_word_length numeric
@attribute longest_sentence_length numeric
@attribute shortest_sentence_length numeric
@attribute long_sentence_rate numeric
@attribute short_sentence_rate numeric
@attribute section_count numeric
@attribute subsection_count numeric
@attribute heading_count numeric
@attribute section_nesting numeric
@attribute subsection_nesting numeric
@attribute lead_length numeric
@attribute lead_rate numeric
@attribute link_count numeric
@attribute image_count numeric
@attribute table_count numeric
@attribute reference_unique numeric
@attribute reference_count numeric
@attribute image_rate numeric
@attribute link_rate numeric
@attribute reference_section_rate numeric
@attribute reference_word_rate numeric
@attribute reference_ratio numeric
@attribute maxSubSectionLength numeric
@attribute minSubSectionLength numeric
@attribute totalWordsInSubsections numeric
@attribute AverageWordsInSubSections numeric
@attribute Sub_SubSectionCount numeric
@attribute maxSub_SubSectionLength numeric
@attribute minSub_SubSectionLength numeric
@attribute totalWordsInSub_Subsections numeric
@attribute AverageWordsInSub_SubSections numeric
@attribute Templates_count numeric
@attribute referenceSectionsCount numeric
@attribute mandatorySectionsCount numeric
@attribute related_page_count numeric
@attribute class_label {Refimprove,untagged}

@data
2990,521,20,5.73896,26.05,9,2.22222,18,320,81,1,0,8,1,9,0.125,0,85,16.314779,58,3,0,1,1,0.375,11.132438,0.111111,0.001919,0.010391,40,40,40,40,0,0,0,0,0,7,1,3,2,Refimprove
10040,1934,145,5.19131,13.3379,78,1.85897,16,422,1,0.855172,0.068965,8,4,12,0.5,0,265,13.702172,230,0,2,3,3,0,11.892451,0.25,0.001551,0.008398,536,0,996,249,0,0,0,0,0,8,1,2,1,Refimprove
3640,693,32,5.25253,21.6562,18,1.77778,18,290,30,1,0,6,0,6,0,0,172,24.819625,3,0,0,4,4,0,0.4329,0.666667,0.005772,0.031248,0,0,0,0,0,0,0,0,0,3,2,3,1,Refimprove
2716,526,21,5.1635,25.0476,10,2.1,17,255,1,0.904762,0.095238,6,3,9,0.5,0,22,4.18251,44,27,3,0,0,4.5,8.365019,0,0,0,17,0,20,6.66667,0,0,0,0,0,26,1,3,2,Refimprove
3809,761,27,5.00526,28.1852,10,2.7,15,409,2,0.962963,0.037037,7,0,7,0,0,182,23.9159,119,6,2,1,2,0.857143,15.637319,0.285714,0.002628,0.014228,0,0,0,0,0,0,0,0,0,6,0,2,2,Refimprove
15829,3033,170,5.21893,17.8412,55,3.09091,23,508,0,0.723529,0.164706,9,0,9,0,0,251,8.275635,189,8,0,10,10,0.888889,6.231454,1.111111,0.003297,0.01785,0,0,0,0,0,0,0,0,0,6,2,4,2,Refimprove
1165,234,12,4.97863,19.5,9,1.33333,15,262,13,0.75,0.083333,4,2,6,0.5,0,45,19.230769,30,0,0,8,8,0,12.820513,1.333333,0.034188,0.185087,10,6,16,8,0,0,0,0,0,7,1,2,1,Refimprove
21779,4138,171,5.26317,24.1988,80,2.1375,19,573,11,0.953216,0.011696,11,6,17,0.545455,0,71,1.715805,123,5,0,6,6,0.454545,2.97245,0.352941,0.00145,0.00785,341,93,1213,202.167,0,0,0,0,0,6,1,3,2,Refimprove
15824,3347,153,4.72782,21.8758,64,2.39062,17,412,3,0.980392,0.006536,25,0,25,0,0,358,10.696146,137,0,1,8,8,0,4.093218,0.32,0.00239,0.01294,0,0,0,0,0,0,0,0,0,5,1,2,1,Refimprove
12397,2458,117,5.04353,21.0085,33,3.54545,51,462,0,0.820513,0.145299,7,5,12,0.714286,0,28,1.139138,43,1,0,0,0,0.142857,1.74939,0,0,0,1192,88,1886,377.2,0,0,0,0,0,7,2,4,2,Refimprove
6457,1188,40,5.43519,29.7,18,2.22222,17,377,46,1,0,6,3,9,0.5,0,110,9.259259,60,3,0,11,11,0.5,5.050505,1.222222,0.009259,0.050128,256,73,446,148.667,0,0,0,0,0,6,1,2,1,Refimprove
1547,282,13,5.48582,21.6923,6,2.16667,28,217,23,0.923077,0,6,0,6,0,0,83,29.432624,24,0,0,8,8,0,8.510638,1.333333,0.028369,0.153583,0,0,0,0,0,0,0,0,0,6,1,3,2,Refimprove
